QDGC,richness,QDGC_lon,QDGC_lat
E131S15AC,1,131.125,-15.375
E131S15CC,1,131.125,-15.875
E131S23AD,1,131.375,-23.375
E131S24BC,1,131.625,-24.375
E131S31DD,1,131.875,-31.875
E132S11AA,1,132.125,-11.125
E132S11AB,1,132.375,-11.125
E132S11AC,2,132.125,-11.375
E132S11AD,4,132.375,-11.375
E132S11BA,1,132.625,-11.125
E132S11BB,1,132.875,-11.125
E132S11BC,2,132.625,-11.375
E132S11BD,1,132.875,-11.375
E132S11DA,1,132.625,-11.625
E132S11DB,1,132.875,-11.625
E132S12BA,1,132.625,-12.125
E132S12BD,1,132.875,-12.375
E132S12CB,1,132.375,-12.625
E132S12CC,1,132.125,-12.875
E132S12DB,3,132.875,-12.625
E132S12DD,4,132.875,-12.875
E132S13AA,1,132.125,-13.125
E132S13AB,1,132.375,-13.125
E132S13AD,3,132.375,-13.375
E132S13BA,1,132.625,-13.125
E132S13BB,4,132.875,-13.125
E132S13BC,5,132.625,-13.375
E132S13BD,3,132.875,-13.375
E132S13CB,2,132.375,-13.625
E132S13CD,3,132.375,-13.875
E132S13DA,1,132.625,-13.625
E132S13DB,1,132.875,-13.625
E132S13DC,1,132.625,-13.875
E132S14AA,1,132.125,-14.125
E132S14AB,3,132.375,-14.125
E132S14AD,2,132.375,-14.375
E132S14BA,1,132.625,-14.125
E132S14BC,1,132.625,-14.375
E132S14CB,1,132.375,-14.625
E132S14CD,1,132.375,-14.875
E132S22CB,1,132.375,-22.625
E132S31BD,1,132.875,-31.375
E132S31CC,1,132.125,-31.875
E132S31DD,2,132.875,-31.875
E133S11CC,1,133.125,-11.875
E133S12AB,1,133.375,-12.125
E133S12AC,1,133.125,-12.375
E133S12AD,4,133.375,-12.375
E133S12CA,3,133.125,-12.625
E133S12CB,1,133.375,-12.625
E133S12DA,3,133.625,-12.625
E133S12DB,1,133.875,-12.625
E133S12DC,1,133.625,-12.875
E133S12DD,2,133.875,-12.875
E133S13AC,1,133.125,-13.375
E133S13AD,1,133.375,-13.375
E133S13CB,1,133.375,-13.625
E133S13CC,1,133.125,-13.875
E133S14CC,1,133.125,-14.875
E133S14CD,1,133.375,-14.875
E133S31BC,1,133.625,-31.375
E133S31BD,1,133.875,-31.375
E133S31CA,1,133.125,-31.625
E133S31CB,2,133.375,-31.625
E133S31CC,2,133.125,-31.875
E133S31CD,3,133.375,-31.875
E133S31DB,1,133.875,-31.625
E133S31DC,1,133.625,-31.875
E133S31DD,2,133.875,-31.875
E133S32BB,1,133.875,-32.125
E134S12AB,1,134.375,-12.125
E134S12BA,1,134.625,-12.125
E134S12BB,1,134.875,-12.125
E134S12CC,1,134.125,-12.875
E134S12CD,1,134.375,-12.875
E134S12DB,1,134.875,-12.625
E134S12DC,1,134.625,-12.875
E134S12DD,2,134.875,-12.875
E134S13BB,2,134.875,-13.125
E134S13BC,1,134.625,-13.375
E134S14AA,1,134.125,-14.125
E134S14BA,1,134.625,-14.125
E134S14BD,1,134.875,-14.375
E134S14DC,1,134.625,-14.875
E134S15BA,1,134.625,-15.125
E134S15BC,1,134.625,-15.375
E134S15BD,1,134.875,-15.375
E134S15DC,1,134.625,-15.875
E134S25CA,1,134.125,-25.625
E134S30CC,1,134.125,-30.875
E134S31CD,1,134.375,-31.875
E134S31DD,1,134.875,-31.875
E134S32AA,1,134.125,-32.125
E134S32AB,1,134.375,-32.125
E134S32BA,1,134.625,-32.125
E134S32BB,1,134.875,-32.125
E134S32BD,1,134.875,-32.375
E134S32CC,1,134.125,-32.875
E134S32DB,1,134.875,-32.625
E134S32DD,2,134.875,-32.875
E134S33BA,4,134.625,-33.125
E134S33BB,4,134.875,-33.125
E134S33BD,1,134.875,-33.375
E134S33CB,1,134.375,-33.625
E135S11DC,3,135.625,-11.875
E135S12AC,3,135.125,-12.375
E135S12BA,2,135.625,-12.125
E135S12BB,2,135.875,-12.125
E135S12BD,2,135.875,-12.375
E135S12CA,1,135.125,-12.625
E135S12CB,1,135.375,-12.625
E135S12CC,2,135.125,-12.875
E135S12CD,3,135.375,-12.875
E135S12DA,3,135.625,-12.625
E135S12DB,3,135.875,-12.625
E135S12DC,1,135.625,-12.875
E135S13BA,1,135.625,-13.125
E135S14BA,2,135.625,-14.125
E135S14BC,1,135.625,-14.375
E135S14DC,1,135.625,-14.875
E135S14DD,1,135.875,-14.875
E135S15AA,1,135.125,-15.125
E135S15AB,1,135.375,-15.125
E135S15AD,1,135.375,-15.375
E135S15BC,3,135.625,-15.375
E135S15BD,1,135.875,-15.375
E135S15CB,1,135.375,-15.625
E135S15CC,1,135.125,-15.875
E135S15DC,2,135.625,-15.875
E135S16BC,1,135.625,-16.375
E135S22BC,1,135.625,-22.375
E135S22DB,1,135.875,-22.625
